X1,X2,X3,X4,X5,X6,X7,AVG,RIP,COG,THD
22,150,3,1,0.5,15,12,-2168.26,47.57,20.05,101.59
25,150,2,1,0.5,13,10,-2185.19,52.51,20.38,55.13
18,150,1,1,1.0,11,16,-1443.0,103.66,20.16,35.08
17,150,2,1,1.0,11,6,-1050.8,55.71,20.11,33.56
17,150,2,1,1.0,15,4,-1133.07,39.8,19.63,99.69
25,150,1,1,0.5,11,14,-2122.77,40.0,20.39,34.65
16,100,1,1,0.5,11,0,-642.87,38.09,20.03,33.99
21,150,1,3,0.5,10,14,-1399.05,15.67,20.18,40.94
18,150,2,1,1.0,15,16,-1791.1,77.99,19.74,98.21
19,150,3,1,0.5,14,16,-1890.77,73.03,19.92,76.32
22,150,3,1,0.5,14,14,-2173.28,53.87,20.18,77.67
24,150,2,1,0.5,13,12,-2171.79,56.05,20.3,54.79
19,150,1,3,0.5,10,16,-1338.71,28.17,20.03,41.16
16,150,3,1,1.0,11,16,-1223.85,86.66,20.15,34.06
17,140,2,1,1.0,10,16,-1265.92,99.89,19.79,39.91
19,150,2,1,0.5,12,16,-1679.84,76.3,20.11,39.08
19,150,3,1,0.5,12,16,-1710.18,79.22,20.06,39.3
16,150,1,1,1.0,10,2,-803.42,44.79,19.85,39.72
15,150,1,1,0.5,10,8,-886.37,84.12,19.9,39.52
16,150,2,1,1.0,15,4,-1022.72,43.76,19.83,99.06
25,140,1,2,0.5,11,14,-1977.35,35.68,20.36,34.8
21,150,2,1,1.0,15,14,-2080.61,46.8,19.98,99.77
22,150,2,1,1.0,11,16,-1870.27,62.01,20.24,34.54
24,140,1,2,0.5,11,16,-1944.83,32.87,20.28,35.18
15,150,3,1,1.0,10,16,-1079.82,94.7,19.94,39.79
17,150,1,1,0.5,10,16,-1384.93,93.9,19.9,40.27
15,150,1,1,0.5,10,0,-700.39,41.54,19.93,39.75
16,150,1,1,1.0,11,8,-934.4,74.49,20.1,34.04
21,150,1,3,0.5,11,14,-1438.86,20.4,20.2,35.22
18,150,2,1,0.5,15,16,-1814.86,72.88,19.78,98.32
21,150,1,3,0.5,11,16,-1483.98,25.78,20.19,34.69
16,150,1,3,0.5,11,16,-1225.64,66.45,20.13,34.36
19,150,3,1,0.5,10,16,-1528.62,69.85,19.88,40.44
21,150,1,3,0.5,10,8,-1406.12,28.7,19.95,40.8
18,150,3,1,0.5,11,8,-1356.43,71.3,20.08,34.75
21,150,1,1,0.5,11,16,-1812.11,57.65,20.21,34.55
25,150,1,2,0.5,11,14,-2011.13,30.87,20.31,34.89
15,150,3,1,0.5,10,16,-1158.44,69.8,19.91,40.24
24,140,2,1,0.5,11,14,-2019.02,59.08,20.27,34.6
19,150,1,1,0.5,10,16,-1596.25,74.82,20.0,40.15
21,150,1,3,0.5,12,16,-1609.23,41.79,20.25,39.84
16,150,1,1,1.0,11,4,-829.57,50.16,20.1,34.06
21,140,1,3,0.5,11,16,-1499.03,23.31,20.18,34.7
24,150,2,1,1.0,11,16,-2142.58,40.25,20.32,34.68
17,150,3,1,0.5,10,16,-1311.5,67.27,19.81,40.27
16,150,1,1,1.0,10,4,-816.49,50.77,20.01,40.12
25,150,2,1,0.5,10,14,-2087.07,54.01,20.13,40.9
24,150,1,2,0.5,12,14,-2020.84,36.81,20.24,39.91
21,150,1,3,0.5,10,16,-1402.72,16.5,20.09,41.15
18,150,1,3,0.5,15,16,-1556.31,47.87,19.82,99.42
