V,E
-1346.1244729698572,-1284.9692025964653
-1343.9945205377392,-1277.9725282318059
-1342.0627859868052,-1277.0842405603312
-1349.9198594519569,-1279.6665251834488
-1362.6437386709017,-1291.0004841118637
-1387.6261009548625,-1308.0760227126304
-1421.9336625429005,-1334.7268831084489
-1465.730015606595,-1371.259834675009
-1516.4535765580392,-1413.305187849898
-1570.6000414113316,-1461.474544206084
-1629.21203241952,-1507.539772095126
-1688.5636113649252,-1555.9303997345528
-1754.8147555692253,-1600.6304969002301
-1818.4367264707612,-1648.3242976629635
-1888.5447417710216,-1701.080775050419
-1947.9511804233896,-1752.2066419194994
-2010.5416637227736,-1804.8688439063785
-2057.4042052701025,-1850.6250592525948
-2105.3518449965927,-1895.5511740452723
-2140.376134256913,-1930.8966262569306
-2175.6063482120603,-1964.5887686447688
-2200.8249230348233,-1990.280635184498
-2223.5075263745725,-2013.0924778657136
-2240.208489214744,-2030.9370598794528
-2250.9927225204306,-2044.425229627465
-2258.3325038499706,-2054.926623575353
-2256.9946297097385,-2057.7163660286674
-2255.363320223145,-2059.402100330501
-2242.1325352015565,-2052.9700871379655
-2230.9659279609295,-2045.256708671094
-2209.0224004920146,-2030.2335885572566
-2190.045080944324,-2012.6365277759378
-2161.6440520172496,-1990.84653087354
-2135.6630615107747,-1964.8493858744496
-2101.621834083586,-1937.5664335090173
-2069.2596489732296,-1905.8189445868377
-2031.5480109946873,-1874.201791865591
-1993.5841167960448,-1837.1955602405492
-1952.2739189621595,-1800.7079020024273
-1907.6859355476108,-1759.0054024680232
-1861.0595190430297,-1714.999384149762
-1809.1928159095626,-1667.2460855895308
-1756.2796035764886,-1616.3979555158269
-1696.2302312331344,-1563.83406184
-1635.8670482027128,-1507.6369815965884
-1568.8117710773568,-1451.845368380963
-1502.0763759734039,-1394.5270277033164
-1432.9350083728082,-1340.3674780617607
-1370.4551684271469,-1290.5251692618406
-1317.917917021567,-1252.8049076727702
-1284.6384203885214,-1232.146712735326
-1270.92725382873,-1229.9439699938273
-1279.7772428976828,-1246.1535253308489
-1302.9518043615892,-1271.969702775546
-1333.118277248749,-1300.0582159635044
-1353.6806661785988,-1312.991020535501
-1357.5936203528609,-1315.4548408258856
-1357.999234159452,-1309.7639195668075
-1349.7944560735473,-1301.216923847042
-1344.8656530992569,-1291.518603589105
-1335.8698105246551,-1282.7426536469516
-1333.7134500515185,-1277.6589745198903
-1332.7428830288216,-1276.6678483423188
-1341.103616728104,-1280.7676955832883
-1354.6564825081898,-1289.1365305584109
-1380.11247244684,-1308.0373790420424
-1413.5501179051648,-1332.7853637024507
-1456.1857505284108,-1369.2570396759168
-1505.979598047685,-1413.0045400786485
-1560.2515840523681,-1459.7459022779635
-1618.9374323884535,-1509.1940120543552
-1680.5317082033735,-1555.4840018244445
-1748.6300970026584,-1602.9209521491491
-1813.9823127856166,-1647.3861328885812
-1885.0511319438908,-1700.468369957368
-1945.002092855639,-1750.5889108267156
-2008.1840782364097,-1801.90963629689
-2054.701629865082,-1849.4649200438985
-2102.7089197542837,-1891.1944703306035
-2137.385280743471,-1930.686040216817
-2172.4842457957,-1960.7759776263447
-2196.535967089544,-1989.512530480751
-2218.2414157952758,-2009.8315778221613
-2233.8025632366566,-2029.2108115979609
-2243.3496877602242,-2042.0457553952356
-2249.5872386599535,-2051.0583000760053
-2247.3198908410927,-2054.7932618602626
-2245.784874994617,-2053.4114849524826
-2232.044627525733,-2049.27497923959
-2220.9473944940364,-2038.5439243927017
-2198.7335967784657,-2026.176476396468
-2179.9569781210853,-2006.3740547560674
-2150.8749255235352,-1985.590737907926
-2124.657678337612,-1959.1643245830921
-2090.423955053961,-1931.2092756207096
-2057.8505435573893,-1900.8122146126789
-2020.5726638647384,-1867.8797688734467
-1983.0809576221789,-1833.5916781429676
-1942.620674513529,-1795.4108282113923
-1898.847567261266,-1756.2355272064488
-1853.3297635253264,-1711.0334209444652
-1801.8586128858096,-1664.736994975872
-1749.6791609928232,-1613.6704992225064
-1690.2120026259224,-1561.1743953595455
-1631.4561654407955,-1505.5436578316642
-1565.8084268467455,-1448.796555957858
-1501.9477997002773,-1392.7256352777847
-1435.081865346909,-1337.2734280423276
-1376.2766952133168,-1288.974399596696
-1325.9985489427404,-1250.757183187544
-1295.6795277859708,-1230.9688490714548
-1283.9108179869972,-1229.9156572412235
-1294.229413850386,-1246.5425785062564
-1316.9743235909264,-1274.4566943186308
-1345.1002306770092,-1301.081470369983
-1366.0317915875155,-1315.6702308691831
-1369.1098094816264,-1315.9905210925024
-1368.0831271295492,-1311.764609448721
-1359.853013350194,-1302.6803550211741
-1354.5739429543992,-1294.6861328732405
-1344.8727355193648,-1285.8676869648716
