X1,X2,X3,X4,X5,X6,X7,AVG,RIP
22.1,146.5,1.0,3.0,0.5,14.9,1.5,-1475.9416571219133,0.20986877039428123
22.1,146.5,1.0,3.0,0.5,15.0,1.5,-1488.761335902218,0.21383785828544943
22.1,146.5,1.0,2.9,0.5,14.8,1.5,-1500.21680776588,0.22250078739695334
22.1,145.4,1.0,3.0,0.5,14.9,1.6,-1497.281706179207,0.21852148902019586
22.1,145.6,1.0,2.9,0.5,14.7,1.5,-1510.3976111296065,0.22731753548964234
22.0,143.0,1.0,2.9,0.5,14.9,1.5,-1518.1603339975063,0.2288321250881799
22.0,146.4,1.0,2.9,0.5,14.9,1.5,-1526.9333147779143,0.23586874200334015
21.8,146.5,1.0,2.9,0.5,15.0,1.5,-1524.6114559470175,0.23082406268371308
22.1,146.5,1.0,2.9,0.5,15.0,1.5,-1535.6537090695683,0.23664525700023203
25.0,148.1,1.1,2.5,0.5,5.2,1.7,-1570.466333945203,0.23309151003825798
