Torque,MaxAngle
1499.1260242294384,0
1528.7286192609768,1
1547.7803129772485,2
1563.397381375958,3
1569.5090794255375,4
1563.695050258722,5
1553.2431291991363,6
1528.261463735402,7
1502.3684341667392,8
1468.1027117271967,9
1434.617901198577,10
1417.6390415791932,11
1413.7284346772926,12
1430.1142346778847,13
1453.6569576533532,14
1485.6604661816991,15
1518.1803045364334,16
1544.5951270799123,17
1568.2383421188963,18
1578.8577431015935,19
1587.5773537609368,20
1590.7393876579588,21
1593.3167290536517,22
1600.4709831655748,23
1606.1807168758212,24
1620.5867216226816,25
1633.5912377307632,26
1650.434710473735,27
1667.9728081808255,28
1681.430732457137,29
1698.5841440835422,30
1706.5088553732996,31
1716.8578607709392,32
1720.453114743502,33
1719.256764148748,34
1718.05781370783,35
1706.1068875963804,36
1697.560370579522,37
1680.7032377256683,38
1666.5718425829657,39
1652.8807280957003,40
1636.2859552470504,41
1625.702657443138,42
1608.8921836997124,43
1597.60076504123,44
1581.9610709625852,45
1563.6742778925277,46
1545.2030277796346,47
1517.364487085052,48
1493.1897258944873,49
1463.5450612252303,50
1438.501929148975,51
1417.7413766783454,52
1399.5773336332525,53
1393.9353934419646,54
1391.5297255908702,55
1403.635246437032,56
1420.3221722886292,57
1444.2030583864612,58
1473.826260229338,59
1499.947343191472,60
1529.2972880605628,61
1548.495373839735,62
1563.959715818534,63
1570.6926715988427,64
1565.0802816713835,65
1554.7973108314118,66
1530.7406337909329,67
1505.1653702285153,68
1471.0689195880295,69
1437.7323164758989,70
1420.6117032366112,71
1416.4908216149297,72
1432.5637119023875,73
1455.7061332613637,74
1487.224109855076,75
1519.1100064918444,76
1544.8608533927772,77
1567.7537783292416,78
1577.9291728919768,79
1586.4128270382885,80
1589.4753113469005,81
1592.0045048896081,82
1599.0405448744325,83
1604.6754024300467,84
1618.9488156515943,85
1631.8178773102577,86
1648.4398288257876,87
1665.8128992892969,88
1679.1116344171433,89
1695.9530107455103,90
1703.4518542060732,91
1713.1169219498656,92
1716.0901784664884,93
1714.3804403600188,94
1712.7562122091888,95
1700.719011088501,96
1692.2605924534284,97
1675.594281765839,98
1662.0266603376087,99
1649.2999584637973,100
1633.4901348701037,101
1623.7282498820432,102
1607.2623838026443,103
1595.9196762254858,104
1580.1366565141452,105
1562.1484109275907,106
1543.9614932865793,107
1515.8020803655443,108
1491.12980278179,109
1461.3226428471385,110
1436.5290762811903,111
1416.3617302155985,112
1398.0892223105757,113
1392.7161225077984,114
1390.2683346002536,115
1403.3690887821633,116
1420.5711005112555,117
1444.480211974179,118
1474.0148008643368,119
1500.0940986705236,120
