X1,X2,X3,X4,X5,X6:,X7:,AVG,RIP,COG
16,150,2,1,1.0,15,0,-980.23,34.46,18.85
17,150,2,3,0.5,15,0,-1486.65,55.61,18.8
23,100,1,3,1.0,10,16,-1353.3,15.79,20.24
25,150,1,1,0.5,10,16,-1893.07,77.58,20.2
25,150,1,2,0.5,11,14,-1856.66,45.98,20.47
25,150,2,1,0.5,10,16,-1928.3,72.84,20.26
23,120,1,2,0.5,10,14,-1612.81,32.9,19.82
22,150,1,2,0.5,15,0,-1718.09,38.29,19.39
23,140,2,1,0.5,15,0,-1755.66,58.71,18.89
23,110,1,3,1.0,10,16,-1405.95,18.44,20.25
22,150,1,3,0.5,11,0,-1485.05,32.42,20.03
18,150,1,1,1.0,15,0,-1058.51,41.63,18.91
16,150,2,1,0.5,15,0,-1170.05,44.49,18.81
22,150,1,3,1.0,15,0,-1417.16,26.75,19.0
23,100,1,2,0.5,10,16,-1542.99,27.65,20.31
25,130,1,2,0.5,11,14,-1803.8,41.43,20.45
25,150,1,2,0.5,10,14,-1830.58,42.79,19.84
17,140,2,3,1.0,15,0,-1237.49,45.85,18.97
22,140,1,3,1.0,15,0,-1433.29,30.18,19.08
23,140,1,2,0.5,10,14,-1691.12,34.61,20.14
22,140,1,2,0.5,15,0,-1677.73,38.2,19.35
23,140,1,2,0.5,10,16,-1725.17,35.32,20.21
25,140,1,2,0.5,10,12,-1789.39,38.67,20.17
25,140,1,1,0.5,15,0,-1791.45,51.83,18.95
23,150,1,2,0.5,15,0,-1770.37,38.57,19.26
23,110,1,2,0.5,10,16,-1591.75,27.7,20.28
17,150,2,3,1.0,15,0,-1225.03,45.31,18.98
23,150,1,3,1.0,15,0,-1419.23,29.76,19.18
22,140,1,3,0.5,15,0,-1622.8,33.21,19.05
24,150,1,2,0.5,15,0,-1827.35,42.45,19.37
23,150,1,1,0.5,15,0,-1680.73,49.36,18.91
25,150,1,2,0.5,10,16,-1872.91,50.42,20.26
18,150,1,3,1.0,15,0,-1189.2,45.89,18.85
22,150,1,3,0.5,15,0,-1587.53,34.67,18.99
24,140,2,1,0.5,15,0,-1799.98,57.73,18.94
25,150,2,1,0.5,15,0,-1892.93,56.02,19.07
23,140,1,1,1.0,15,0,-1552.97,55.68,18.9
24,140,1,1,0.5,15,0,-1734.85,48.19,18.96
24,100,1,2,0.5,15,0,-1652.01,42.74,19.21
23,130,1,2,0.5,10,16,-1676.84,33.31,20.25
23,140,1,3,1.0,15,0,-1463.12,29.64,19.22
23,150,2,1,0.5,15,0,-1769.54,57.02,18.9
22,150,1,3,1.0,15,2,-1426.58,29.55,20.2
23,130,1,3,1.0,15,0,-1466.32,30.05,19.19
18,150,3,1,0.5,15,0,-1426.02,51.17,18.86
25,150,1,1,0.5,15,0,-1837.13,51.28,18.96
18,150,1,3,0.5,15,0,-1418.77,47.74,18.86
23,120,1,2,0.5,10,16,-1639.04,29.97,20.26
25,150,1,2,0.5,15,0,-1853.97,48.04,19.21
24,150,1,1,0.5,15,0,-1778.87,47.93,18.97
