X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Tavg,Trip,Tcog,Navg,Nrip,Ncog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,10.0,0.0,0.0,598.68,32.1,18.11,0.0,0.0,0.08831908831908801
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,14.0,8.0,8.0,783.45,113.4,20.76,0.13797661185536994,0.8507743825868566,0.843304843304844
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,18.0,16.0,16.0,826.69,127.66,20.3,0.17026599160655356,1.0,0.7122507122507127
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,14.0,13.0,16.0,941.12,38.53,17.8,0.2557163552727871,0.06728756802009209,0.0
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,18.0,6.0,0.0,1195.59,75.47,19.38,0.4457412966530759,0.45385098367517784,0.4501424501424499
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,10.0,8.0,8.0,899.67,67.17,20.26,0.2247636542855863,0.3669945583926329,0.7008547008547015
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,18.0,14.0,8.0,1000.09,88.69,17.99,0.2997520796929373,0.592193386354123,0.05413105413105351
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,10.0,16.0,16.0,982.73,65.54,19.31,0.28678853592604214,0.34993721222268737,0.43019943019942986
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,14.0,3.0,0.0,922.18,61.07,20.13,0.24157294980360533,0.30316031812473837,0.6638176638176637
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,14.0,8.0,0.0,1070.03,104.95,21.31,0.3519796287169378,0.7623482628714943,1.0
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,18.0,0.0,8.0,1094.58,119.9,18.6,0.37031228997714954,0.9187944746755966,0.22792022792022826
20.0,10.0,2.5,1.0,2.0,1.0,1.25,10.0,10.0,16.0,16.0,1322.38,36.86,19.67,0.5404214645220068,0.04981163666806193,0.5327635327635334
20.0,12.5,3.5,0.5,1.0,1.5,1.5,10.0,10.0,16.0,16.0,1354.67,58.22,20.3,0.5645339546275969,0.27333612390121387,0.7122507122507127
20.0,12.5,3.6,0.5,1.0,2.0,1.0,10.0,10.0,0.0,0.0,1301.06,66.26,17.98,0.5245007990202668,0.3574717455002093,0.05128205128205123
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,14.0,16.0,8.0,1299.81,91.11,20.53,0.5235673641292173,0.6175177898702385,0.7777777777777783
20.0,15.0,1.0,0.75,1.0,1.5,1.5,10.0,10.0,8.0,8.0,1227.92,84.14,20.31,0.46988365667517973,0.544579321892005,0.7150997150997149
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,14.0,16.0,16.0,1258.6,72.33,19.01,0.492793882641098,0.42099204688154035,0.3447293447293452
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,18.0,0.0,0.0,1199.23,42.09,19.24,0.448459459055812,0.10454164922561743,0.41025641025640985
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,18.0,8.0,0.0,1218.86,121.39,20.17,0.46311812058485297,0.934386772708246,0.6752136752136759
25.0,10.0,2.6,0.75,1.0,1.0,1.5,10.0,10.0,8.0,8.0,1654.08,67.08,20.14,0.7881177472108967,0.3660527417329426,0.666666666666667
25.0,10.0,2.6,0.75,1.0,1.5,1.0,10.0,10.0,16.0,16.0,1623.03,64.34,17.97,0.7649312245172275,0.3373796567601507,0.04843304843304794
25.0,12.5,1.0,1.0,1.0,2.0,1.25,10.0,10.0,16.0,16.0,1692.94,89.27,19.38,0.817136371103843,0.598262871494349,0.4501424501424499
25.0,12.5,1.0,1.0,2.5,1.0,1.5,14.0,14.0,0.0,0.0,1637.75,49.55,20.15,0.7759233537942264,0.18260778568438674,0.6695156695156693
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,14.0,8.0,8.0,1447.14,64.75,18.71,0.6335857341278733,0.34167015487651736,0.25925925925925947
25.0,15.0,2.5,0.5,1.0,2.0,1.25,14.0,14.0,8.0,8.0,1806.46,88.23,19.41,0.9019071941693926,0.5873796567601507,0.45868945868945876
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,10.0,16.0,16.0,1937.82,68.88,20.27,1.0,0.3848890749267475,0.7037037037037038
25.0,15.0,2.5,0.5,1.1,1.5,1.0,10.0,10.0,0.0,0.0,1841.08,80.2,17.94,0.9277596069118988,0.5033486814566764,0.03988603988604007
