X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
15,140,2,3,0.5,15,16,13,12,-50.0,-1303.42,69.69,23.29
19,100,1,2,0.5,12,13,12,11,-47.0,-1304.09,23.17,22.51
24,140,1,1,0.5,15,18,0,1,-36.0,-1734.86,70.18,15.58
25,150,2,1,0.5,11,12,6,6,-45.0,-1890.69,86.16,21.32
15,140,2,1,0.5,15,18,8,8,-49.0,-946.41,93.06,20.02
24,110,2,1,0.5,15,18,0,1,-37.0,-1657.09,73.34,15.51
15,150,2,1,0.5,15,18,6,9,-49.0,-1017.4,104.24,20.03
24,140,1,2,0.5,15,18,0,1,-38.0,-1784.5,60.77,15.77
16,120,2,1,0.5,15,18,0,2,-37.0,-1207.45,55.27,17.65
22,120,2,1,0.5,15,18,0,3,-42.0,-1527.91,103.57,18.81
22,120,1,3,0.5,15,18,0,2,-41.0,-1601.11,54.65,18.28
25,150,1,2,0.5,15,17,0,1,-40.0,-1862.89,59.91,18.16
16,140,1,2,0.5,15,17,6,4,-46.0,-1095.13,61.64,19.57
23,100,2,1,0.5,15,18,0,2,-40.0,-1564.37,87.22,17.87
15,150,2,2,0.5,15,17,13,11,-50.0,-1197.52,63.41,22.72
25,150,2,1,0.5,11,16,2,2,-44.0,-1653.49,98.66,19.43
18,150,1,3,0.5,15,18,0,2,-41.0,-1469.95,53.55,18.19
18,150,2,2,0.5,14,15,11,10,-48.0,-1445.63,35.55,21.09
16,150,2,2,0.5,15,16,8,9,-48.0,-1293.94,40.05,20.25
24,130,1,2,0.5,15,18,0,1,-38.0,-1747.18,59.2,15.64
16,110,2,2,0.5,15,17,6,4,-47.0,-1240.24,65.57,19.59
18,120,2,2,0.5,15,16,0,1,-42.0,-1508.4,52.16,18.62
23,150,1,1,0.5,15,18,0,2,-39.0,-1682.14,80.48,17.92
24,130,2,1,0.5,15,16,2,3,-45.0,-1712.14,84.49,19.68
21,140,2,2,0.5,15,16,0,1,-42.0,-1712.45,59.35,19.0
22,120,2,2,0.5,15,18,0,3,-43.0,-1643.28,93.96,18.89
15,150,2,3,0.5,15,16,13,12,-50.0,-1306.76,73.86,23.23
24,110,1,1,0.5,15,18,0,1,-36.0,-1616.23,62.08,15.52
20,140,1,2,0.5,15,18,8,5,-46.0,-1434.36,61.28,20.07
25,150,1,1,0.5,15,17,0,1,-39.0,-1816.76,70.52,17.94
15,140,2,2,0.5,15,17,13,11,-50.0,-1170.18,61.77,22.73
22,140,2,2,0.5,15,18,6,3,-43.0,-1695.99,71.31,19.53
16,110,2,2,0.5,15,16,12,11,-49.0,-1201.46,39.08,21.34
25,150,2,1,0.5,11,16,4,2,-44.0,-1647.62,86.2,19.58
25,150,2,1,0.5,11,12,5,4,-45.0,-1825.18,75.78,21.75
15,150,2,1,0.5,15,18,8,8,-49.0,-975.32,93.56,20.01
24,110,2,1,0.5,11,16,4,3,-45.0,-1479.98,99.09,19.59
16,110,2,1,0.5,15,17,6,4,-45.0,-1003.56,66.41,19.51
25,150,1,2,0.5,15,16,0,1,-42.0,-1844.32,50.55,19.35
15,120,2,2,0.5,15,16,6,7,-48.0,-1136.55,28.89,20.1
15,120,2,1,0.5,15,16,0,1,-39.0,-1047.44,46.21,18.7
15,130,2,3,0.5,15,16,12,12,-50.0,-1281.58,67.19,22.24
16,140,2,1,0.5,15,16,4,5,-46.0,-1060.82,32.29,19.87
22,140,2,2,0.5,15,18,0,3,-43.0,-1700.11,97.04,18.93
16,120,2,2,0.5,15,16,8,9,-48.0,-1223.49,31.39,20.27
16,120,2,2,0.5,15,16,11,10,-49.0,-1189.04,33.72,22.3
18,120,2,2,0.5,15,16,10,9,-47.0,-1386.57,30.23,21.2
22,130,1,1,0.5,15,18,0,2,-39.0,-1545.13,73.84,17.79
19,150,2,2,0.5,12,14,12,10,-47.0,-1491.23,38.4,22.38
16,150,2,2,0.5,15,17,0,2,-43.0,-1408.26,55.11,18.73
16,130,2,2,0.5,15,16,6,7,-47.0,-1261.2,23.26,20.06
15,130,2,1,0.5,15,18,0,2,-36.0,-1152.43,54.95,17.96
21,140,1,3,0.5,15,16,0,1,-43.0,-1590.17,36.25,19.13
19,100,2,2,0.5,12,13,12,11,-47.0,-1362.18,25.08,22.6
25,150,2,1,0.5,12,13,6,5,-45.0,-1877.74,79.72,21.9
25,110,1,2,0.5,15,17,0,1,-40.0,-1740.83,50.97,18.07
23,150,2,1,0.5,15,18,0,2,-40.0,-1709.78,91.27,17.9
25,130,1,2,0.5,11,12,7,6,-44.0,-1773.47,43.64,22.1
19,150,2,2,0.5,11,16,4,4,-46.0,-1425.35,64.18,19.73
16,150,2,2,0.5,15,16,10,11,-49.0,-1323.87,52.81,20.42
24,150,1,2,0.5,15,18,2,1,-38.0,-1799.55,48.61,19.22
19,150,2,2,0.5,12,15,12,9,-47.0,-1463.08,34.14,22.14
16,130,2,3,0.5,15,16,12,11,-49.0,-1340.31,48.39,21.37
16,100,2,2,0.5,15,16,8,9,-48.0,-1176.17,26.73,20.17
25,150,2,1,0.5,11,12,7,6,-45.0,-1886.75,77.74,21.91
24,150,1,2,0.5,15,16,3,2,-44.0,-1808.61,50.35,20.84
16,150,1,3,0.5,15,16,2,3,-47.0,-1253.68,77.09,19.69
22,150,2,2,0.5,14,16,4,5,-46.0,-1720.33,82.53,19.96
22,130,2,2,0.5,15,18,0,3,-43.0,-1686.67,94.87,18.86
16,140,2,3,0.5,15,16,8,9,-48.0,-1368.18,39.8,20.31
19,150,2,2,0.5,15,16,9,8,-47.0,-1559.16,44.4,21.95
24,150,2,1,0.5,14,16,5,3,-45.0,-1744.68,81.78,19.78
16,150,1,2,0.5,15,17,4,6,-47.0,-1113.14,37.41,19.87
22,130,1,2,0.5,15,17,0,2,-42.0,-1628.67,49.23,18.87
24,150,1,2,0.5,15,16,4,3,-45.0,-1795.49,56.42,20.52
25,150,2,1,0.5,15,16,3,2,-44.0,-1831.78,70.43,20.77
19,150,2,1,0.5,15,18,0,2,-39.0,-1483.09,71.41,17.69
15,150,2,3,0.5,15,16,7,6,-49.0,-1327.4,47.6,21.54
24,150,2,1,0.5,14,15,5,4,-46.0,-1763.0,84.04,20.68
20,100,1,2,0.5,12,13,11,10,-46.0,-1361.34,29.92,21.32
19,120,2,2,0.5,15,17,0,2,-43.0,-1525.82,57.26,18.92
24,150,2,1,0.5,11,12,8,7,-45.0,-1812.06,79.65,21.03
24,130,1,1,0.5,15,18,0,1,-36.0,-1690.64,68.17,15.54
19,150,1,2,0.5,12,13,12,11,-47.0,-1490.88,34.91,22.61
18,140,2,2,0.5,15,16,10,9,-47.0,-1451.32,32.45,21.14
19,120,1,2,0.5,12,13,12,11,-47.0,-1378.9,26.75,22.46
22,150,2,2,0.5,15,16,6,5,-46.0,-1748.14,69.72,20.68
21,130,1,2,0.5,15,17,0,2,-42.0,-1573.8,42.1,18.96
19,140,2,2,0.5,15,16,9,8,-47.0,-1524.03,42.46,21.94
22,150,1,2,0.5,15,16,3,2,-44.0,-1692.27,43.4,20.94
18,150,1,2,0.5,15,16,4,5,-46.0,-1303.69,27.6,19.93
16,120,2,2,0.5,15,16,12,11,-49.0,-1213.42,42.13,21.49
21,130,2,2,0.5,15,16,7,6,-46.0,-1640.04,60.82,21.62
22,150,2,2,0.5,12,15,9,6,-46.0,-1663.07,70.71,20.54
16,140,1,2,0.5,15,17,4,6,-46.0,-1116.03,36.74,19.84
16,130,2,2,0.5,15,16,12,11,-49.0,-1244.32,45.38,21.37
16,120,2,1,0.5,15,16,0,1,-40.0,-1128.07,46.33,18.85
18,150,1,2,0.5,15,16,0,1,-42.0,-1381.04,41.45,18.86
16,100,2,3,0.5,15,16,12,11,-49.0,-1290.6,47.39,21.41
23,140,2,1,0.5,15,18,0,2,-40.0,-1693.28,89.1,17.89
