X1,X2,X3,X4,AVG,RIP,P2P,THD
1.2,1.1,1.2,1.1,-1246.9053790453781,0.5491130828292928,3.3729882613275093,335.7363356655228
9.1,8.5,9.8,8.5,-1673.8809611923461,0.1850951833207277,4.132964377634501,136.16877441725498
1.1,1.0,1.1,1.0,-1255.5531387950452,0.5589634456944896,2.7859705381833773,114.26156740965808
1.8,1.2,1.8,1.2,-1264.4503587926115,0.48311188462509336,6.267587273005117,18.689490419864192
9.4,8.6,9.7,8.6,-1654.0418108989459,0.1585774436319065,4.369668485953689,246.04188539687985
9.1,8.6,9.7,8.6,-1664.1269984018484,0.1665156973610418,3.7573793163030698,152.32213903285518
1.2,1.0,1.4,1.0,-1226.4637787105924,0.5480797054058026,3.693240043272387,31.46129183472576
9.3,8.6,9.3,8.6,-1631.5103768486597,0.14128538490651144,4.725881785786886,83.89632225672538
1.0,1.0,1.0,1.3,-1234.5224420659652,0.6099136374812183,3.154554775357754,106.06531609815057
8.0,1.5,8.0,1.6,-1336.7262493055941,0.12263791002165626,19.916957585967697,46.307183408322594
9.1,8.6,9.4,8.6,-1627.4889361460735,0.1467976850951383,4.625342494627089,98.25224975240059
9.4,8.0,9.7,8.1,-1668.0631531791646,0.1826058123502183,5.284321596032343,80.44369705864547
9.3,8.6,9.4,8.6,-1637.1759431541122,0.1427290571007035,4.445130286149831,99.8939604009827
8.9,8.1,8.9,9.4,-1534.5144064633441,0.15732110374110453,5.349246730887058,78.66968831381926
7.4,1.5,7.5,1.6,-1310.2953387625957,0.1552999162831433,19.898675497606032,53.53988850595715
8.9,8.5,9.8,8.5,-1668.2257709911323,0.20498199142765658,4.358676074439291,112.12231966561917
9.1,8.4,9.7,8.6,-1664.6079621023798,0.1819598576765128,3.8128376870921006,162.2573910690657
1.0,1.0,1.6,1.0,-1251.8420970487941,0.4621121374763634,3.812714301409757,103.25069690900158
1.2,1.0,1.2,1.0,-1240.4809540312458,0.5582039386618792,3.270590842159324,117.0742659762208
9.4,8.4,10.0,8.7,-1678.6277661262984,0.19194091313977346,6.506759688732849,28.046005625807208
9.3,8.6,9.6,9.2,-1631.4077008270206,0.17514566358200773,6.910364554090123,21.842766390139897
9.4,8.4,10.0,8.5,-1682.1169737320292,0.19196098588475666,5.280323699827603,37.15653110490397
1.0,1.0,1.5,1.0,-1251.9601603191304,0.48403479431220026,3.64666673243914,32.42433420379935
8.0,1.0,8.0,1.6,-1326.362759941977,0.11203350374228493,19.96191812053044,48.346398827447366
1.4,1.0,1.4,2.1,-1269.8594405146277,0.5870521289621691,6.49554466435693,22.731684582775543
9.6,7.7,9.7,8.0,-1659.0536426599542,0.169616117716754,5.617522536007307,73.59238625004303
9.6,8.0,9.7,8.0,-1685.733787672997,0.16461195141278773,5.555294078501692,74.97741016306321
9.2,8.7,9.2,9.2,-1605.1310663998763,0.1316122070969251,4.701557903425188,234.5927946786297
8.9,2.0,8.9,2.0,-1405.9535955654437,0.1596930932839849,20.038729511261593,34.22663135030461
9.0,1.1,9.0,1.1,-1381.099547271288,0.15646004961690302,20.39766814412586,39.46680904312936
9.1,8.5,9.9,8.5,-1686.7351492950615,0.18817416139820722,4.13257487938337,152.81776018487332
9.1,8.1,9.5,8.6,-1627.3514963205487,0.16451943455465004,4.364577016621579,90.71588805627505
9.1,8.4,10.0,8.6,-1699.9108721847556,0.2008116348745194,4.363976613300608,250.13629555025952
